# Dated captions, all from timeline-of-the-global-swap.html unless the source says otherwise.
# importance: 1 minor (short dwell), 2 major, 3 era-defining (long dwell). Keep text under ~90
# characters: it has to be read in the few seconds the year is on screen.
year,date,importance,text,text_ar,source
-460,after 460 BCE,3,The Achaemenids withdraw from the desert; no power polices the caravan routes,ينسحب الأخمينيون من البادية؛ ولا قوة تحرس دروب القوافل,timeline
-440,c. 440 BCE,2,"Aretas I is recorded at Petra as ""king of the Nabatu, master of the water of Sela""",يُسجَّل الحارث الأول في البتراء «ملكًا للنبطو، سيّدَ ماء سلع»,timeline
-380,c. 380 BCE,1,Obodas I takes Hegra: the kingdom's second capital,يأخذ عبادة الأول الحِجر، فتصير العاصمة الثانية للمملكة,timeline
-345,c. 345 BCE,1,The Dedan settlement: Lihyan's wells go into the Hegra registry,تسوية ددان: تضع لحيان آبارها تحت سجل الحِجر,timeline
-312,312 BCE,1,The notables of Damascus admit a Nabataean governor,يقبل أعيان دمشق واليًا نبطيًا,timeline
-305,305 BCE,1,Aretas III turns back a Masri army at the Wadi al-Arish,يردّ الحارث الثالث جيشًا مصريًا في وادي العريش,timeline
-291,291 BCE,2,The Arabic Ordinance: Arabic in the Nabataean chancery hand becomes the language of government,مرسوم العربية: تصير العربية بالخط الديواني النبطي لغةَ الحكم,timeline
-287,287 BCE,1,The Water Ordinance puts every registered well into the Well Rolls,يضع مرسوم الماء كل بئر مسجّلة في سجلات الآبار,timeline
-262,262 BCE,3,The Covenant of the Wells is sworn at Hajr: the Nabataean unification,يُعقد ميثاق الآبار في هجر: الوحدة النبطية,timeline
-188,188 BCE,2,Aretas V annexes Gerrha on the Gulf,يضمّ الحارث الخامس جرها على الخليج,timeline
-141,141 BCE,2,The War of the Two Capitals between Petra and Hegra,حرب العاصمتين بين البتراء والحِجر,timeline
-118,118 BCE,1,Gerrha secedes and takes the Gulf trade with it,تنفصل جرها وتأخذ معها تجارة الخليج,nabataean-unification
-64,64 BCE,1,Damascus is lost to the Hawran princes,تضيع دمشق لأمراء حوران,nabataean-unification
-40,40 BCE,2,The kingdom is reduced to Petra; the Hisma; Hegra and Dedan,تتقلّص المملكة إلى البتراء وحسمى والحِجر وددان,nabataean-unification
-72,72 BCE,1,Himyar takes Najran and diverts the incense trade to the Red Sea,تأخذ حمير نجران وتحوّل تجارة البخور إلى البحر الأحمر,timeline
36,36 CE,3,Rabbel V dies without an heir; the kingdom dissolves into the Petra and Hegra leagues,يموت ربئيل الخامس بلا وارث؛ فتنحلّ المملكة إلى عصبتي البتراء والحِجر,timeline
622,early 7th century,3,Islam emerges in the Hejaz among a literate trading people,يظهر الإسلام في الحجاز بين قوم من التجار يكتبون,timeline
750,750,2,The Abbasid caliphate: Baghdad becomes the largest city on the planet,الخلافة العباسية: تصير بغداد أكبر مدن الأرض,timeline
869,869,2,The Saqaliba Revolt: European captives rise in the Basra marshes,ثورة الصقالبة: يثور الأسرى الأوروبيون في أهوار البصرة,timeline
871,871,1,The rebels sack Basra,ينهب الثوار البصرة,timeline
883,883,1,An Abbasid army destroys the rebel capital after fourteen years,يدمّر جيش عباسي عاصمة الثوار بعد أربع عشرة سنة,timeline
1258,1258,3,The sack of Baghdad; the Interregnum begins,نهب بغداد؛ وتبدأ حقبة الفترة,timeline
1498,1498,3,Mansa Jata of Kaabu reaches Aden around the Horn,يبلغ مانسا جاتا، من كابو، عدنَ بالدوران حول القرن الأفريقي,timeline
1507,1507,1,Jolofian cartographers name the whole landmass Arabia,يُطلق رسّامو الخرائط الجولوفيون اسم «العربية» على البر كله,timeline
1560,c. 1560,2,The colonial trade in Europeans begins,تبدأ التجارة الاستعمارية في الأوروبيين,timeline
